index,countryenc,priceenc,pointsenc,region_1enc,reviewenc,user_nameenc,provinceenc,wineryenc,countryenc + priceenc,pointsenc + user_nameenc,region_1enc + user_nameenc,pointsenc + region_1enc,priceenc + provinceenc,reviewenc + wineryenc,region_1enc + reviewenc,countryenc + provinceenc,provinceenc + user_nameenc,countryenc + pointsenc,countryenc + user_nameenc,priceenc + user_nameenc,region_1enc + wineryenc,pointsenc + provinceenc,provinceenc + wineryenc,priceenc + wineryenc,provinceenc + reviewenc,provinceenc + region_1enc,countryenc + wineryenc,countryenc + reviewenc,priceenc + reviewenc,user_nameenc + wineryenc,pointsenc + priceenc,pointsenc + wineryenc,pointsenc + reviewenc,countryenc + region_1enc,priceenc + region_1enc,reviewenc + user_nameenc,countryenc * priceenc,pointsenc * user_nameenc,region_1enc * user_nameenc,pointsenc * region_1enc,priceenc * provinceenc,reviewenc * wineryenc,region_1enc * reviewenc,countryenc * provinceenc,provinceenc * user_nameenc,countryenc * pointsenc,countryenc * user_nameenc,priceenc * user_nameenc,region_1enc * wineryenc,pointsenc * provinceenc,provinceenc * wineryenc,priceenc * wineryenc,provinceenc * reviewenc,provinceenc * region_1enc,countryenc * wineryenc,countryenc * reviewenc,priceenc * reviewenc,user_nameenc * wineryenc,pointsenc * priceenc,pointsenc * wineryenc,pointsenc * reviewenc,countryenc * region_1enc,priceenc * region_1enc,reviewenc * user_nameenc,variety
0,6,31,8,645,1,7,32,482,37,15,652,653,63,483,646,38,39,14,13,38,1127,40,514,513,33,677,488,7,32,489,39,490,9,651,676,8,186,56,4515,5160,992,482,645,192,224,48,42,217,310890,256,15424,14942,32,20640,2892,6,31,3374,248,3856,8,3870,19995,7,Chardonnay
1,0,56,10,342,1,12,21,3589,56,22,354,352,77,3590,343,21,33,10,12,68,3931,31,3610,3645,22,363,3589,1,57,3601,66,3599,11,342,398,13,0,120,4104,3420,1176,3589,342,0,252,0,0,672,1227438,210,75369,200984,21,7182,0,0,56,43068,560,35890,10,0,19152,12,Red Blend
2,6,34,7,163,1,9,7,4122,40,16,172,170,41,4123,164,13,16,13,15,43,4285,14,4129,4156,8,170,4128,7,35,4131,41,4129,8,169,197,10,204,63,1467,1141,238,4122,163,42,63,42,54,306,671886,49,28854,140148,7,1141,24732,6,34,37098,238,28854,7,978,5542,9,Cabernet Sauvignon
3,0,16,11,342,1,12,21,434,16,23,354,353,37,435,343,21,33,11,12,28,776,32,455,450,22,363,434,1,17,446,27,445,12,342,358,13,0,132,4104,3762,336,434,342,0,252,0,0,192,148428,231,9114,6944,21,7182,0,0,16,5208,176,4774,11,0,5472,12,Red Blend
4,4,45,10,76,1,4,46,4428,49,14,80,86,91,4429,77,50,50,14,8,49,4504,56,4474,4473,47,122,4432,5,46,4432,55,4438,11,80,121,5,180,40,304,760,2070,4428,76,184,184,40,16,180,336528,460,203688,199260,46,3496,17712,4,45,17712,450,44280,10,304,3420,4,Red Blend
5,6,22,8,228,1,9,7,2237,28,17,237,236,29,2238,229,13,16,14,15,31,2465,15,2244,2259,8,235,2243,7,23,2246,30,2245,9,234,250,10,132,72,2052,1824,154,2237,228,42,63,48,54,198,510036,56,15659,49214,7,1596,13422,6,22,20133,176,17896,8,1368,5016,9,Cabernet Sauvignon
6,4,20,8,252,1,4,20,1703,24,12,256,260,40,1704,253,24,24,12,8,24,1955,28,1723,1723,21,272,1707,5,21,1707,28,1711,9,256,272,5,80,32,1008,2016,400,1703,252,80,80,32,16,80,429156,160,34060,34060,20,5040,6812,4,20,6812,160,13624,8,1008,5040,4,Red Blend
7,6,21,7,645,1,7,32,4611,27,14,652,652,53,4612,646,38,39,13,13,28,5256,39,4643,4632,33,677,4617,7,22,4618,28,4618,8,651,666,8,126,49,4515,4515,672,4611,645,192,224,42,42,147,2974095,224,147552,96831,32,20640,27666,6,21,32277,147,32277,7,3870,13545,7,Red Blend
8,3,31,8,116,1,10,11,2335,34,18,126,124,42,2336,117,14,21,11,13,41,2451,19,2346,2366,12,127,2338,4,32,2345,39,2343,9,119,147,11,93,80,1160,928,341,2335,116,33,110,24,30,310,270860,88,25685,72385,11,1276,7005,3,31,23350,248,18680,8,348,3596,10,Red Blend
9,3,9,2,475,0,10,19,521,12,12,485,477,28,521,475,22,29,5,13,19,996,21,540,530,19,494,524,3,9,531,11,523,2,478,484,10,27,20,4750,950,171,0,0,57,190,6,30,90,247475,38,9899,4689,0,9025,1563,0,0,5210,18,1042,0,1425,4275,0,Chardonnay
10,6,31,4,281,0,11,50,95,37,15,292,285,81,95,281,56,61,10,17,42,376,54,145,126,50,331,101,6,31,106,35,99,4,287,312,11,186,44,3091,1124,1550,0,0,300,550,24,66,341,26695,200,4750,2945,0,14050,570,0,0,1045,124,380,0,1686,8711,0,Chardonnay
11,6,56,13,337,1,7,32,556,62,20,344,350,88,557,338,38,39,19,13,63,893,45,588,612,33,369,562,7,57,563,69,569,14,343,393,8,336,91,2359,4381,1792,556,337,192,224,78,42,392,187372,416,17792,31136,32,10784,3336,6,56,3892,728,7228,13,2022,18872,7,Cabernet Sauvignon
12,6,41,8,228,1,9,7,3719,47,17,237,236,48,3720,229,13,16,14,15,50,3947,15,3726,3760,8,235,3725,7,42,3728,49,3727,9,234,269,10,246,72,2052,1824,287,3719,228,42,63,48,54,369,847932,56,26033,152479,7,1596,22314,6,41,33471,328,29752,8,1368,9348,9,Cabernet Sauvignon
